symptom_name,symptom_id
lower limb tenderness calf,s_1622
joint pain during ankle movement,s_1623
dyspnea lasting more than 4 weeks,s_1625
joint pain elbow,s_1632
joint pain during elbow movement,s_1634
edema elbow joint,s_1635
joint pain during wrist movement,s_1636
joint pain thumb,s_1639
joint pain during thumb movement,s_1641
foot pain back of the foot during single-leg heel raise,s_1645
annular skin lesions,s_1647
skin thickening,s_1650
edema hip joint,s_1652
joint pain shoulder,s_1654
edema shoulder joint,s_1655
joint pain tenderness,s_1656
broken hair,s_1671
white oral plaques,s_1673
skin pain,s_1674
corn or callus,s_1676
dermatological changes hyperpigmentation of the skin,s_1680
rhinophyma,s_1682
burning skin face,s_1684
telangiectasias face,s_1685
kernig's sign,s_1689
brudzinski's sign,s_1690
dermatological changes exacerbated by alcohol consumption,s_1692
decreased intensity of breath sounds,s_1693
interpersonal relationship difficulties,s_1695
echolalia,s_1696
restricted interests,s_1697
lack of eye contact,s_1698
restricted range of joint motion,s_1713
pathologic fractures,s_1715
janeway lesion,s_1718
osler nodes,s_1719
cardiac murmurs,s_1720
nystagmus horizontal,s_1721
lower limb pallor,s_1725
abdominal pain left lower quadrant,s_1729
dix-hallpike maneuver rotatory nystagmus,s_1731
rovsing's sign,s_1732
lymph node pain,s_1733
romberg's sign,s_1738
knee instability,s_1745
dermatological changes aggravated by stress,s_1761
headache exacerbated by increased stress,s_1762
chest pain exacerbated by stress,s_1763
tremors stress-related,s_1765
myalgia exacerbated by stress,s_1766
gastrointestinal complaints stress-related,s_1767
mental disturbances exacerbated by stress,s_1768
back pain thoracic,s_1772
dysphagia oropharyngeal,s_1776
dysphagia esophageal,s_1779
headache mild,s_1780
headache moderate,s_1781
abdominal pain mild,s_1782
abdominal pain moderate,s_1783
white nail discoloration,s_1788
yellow nail discoloration,s_1789
thickened nails,s_1790
erythema scalp,s_1791
visible head lice on scalp,s_1792
lice eggs or nits on hair shafts,s_1793
white patch on cornea,s_1796
difference in size of testicles,s_1798
forearm pain,s_1799
past appendectomy,s_1800
past cholecystectomy,s_1801
abdominal pain burning or gnawing,s_1802
bulla,s_1803
dermatological changes vesicle,s_1804
joint pain during shoulder movement,s_1805
blisters,s_1807
dermatological changes located on the face,s_1808
dermatological changes located in the genital area,s_1810
vaginal dryness,s_1811
nasal congestion chronic,s_1812
impaired vision recent onset,s_1818
impaired vision in one eye,s_1819
fever temperature not measured,s_1820
joint pain during hip movement,s_1823
pharyngeal pain unilateral,s_1826
vulvovaginal pain,s_1829
skin mass greater than 1 cm in diameter,s_1830
skin mass,s_1831
toe pain,s_1833
body aches,s_1835
abdominal pain lasting less than two days,s_1840
abdominal pain lasting more than two weeks,s_1842
abdominal pain sudden onset,s_1843
abdominal pain gradual onset,s_1844
abdominal pain radiating to left shoulder or shoulder blade,s_1845
abdominal pain radiating to lower or middle part of the back,s_1846
abdominal pain recurrent,s_1847
abdominal pain colicky,s_1848
diarrhea lasting more than 14 days,s_1850
abdominal pain migrating to the right lower quadrant,s_1851
abdominal pain lasting 2 to 7 days,s_1852
abdominal pain lasting 8 to 14 days,s_1853
abdominal pain left side,s_1854
abdominal pain right side,s_1855
abdominal tenderness right lower quadrant,s_1856
cough lasting three to eight weeks,s_1858
abdominal pain midcycle,s_1859
abdominal pain crampy,s_1860
headache worst headache in life,s_1864
headache chronic attack lasting five minutes to four hours,s_1868
headache chronic attack lasting 4 to 72 hours,s_1870
vulvovaginal burning,s_1875
hypomenorrhea,s_1876
oligomenorrhea,s_1877
pain in the back of the leg above the heel,s_1878
hypersensitivity to smells,s_1891
pain in lower limb thigh,s_1893
tingling fingers first three digits,s_1899
tingling fingers fourth and fifth digits,s_1900
headache chronic attack lasting three to seven days,s_1901
restricted passive range of joint motion,s_1903
headache sudden onset,s_1905
headache chronic attack lasting up to five minutes,s_1907
foot drop,s_1909
wrist drop,s_1910
headache temporal region,s_1911
headache recent,s_1912
purpuric rash palpable,s_1915
buttocks pain,s_1918
dermatological changes exacerbated by sunlight exposure,s_1921
heel drop test,s_1922
dermatological changes feet,s_1923
cough paroxysmal,s_1924
chest pain pressure,s_1925
cold and clammy skin,s_1926
limping due to pain,s_1927
abdominal pain unbearable,s_1929
pain in lower limb severe,s_1930
skin mass bleeding,s_1931
paresthesia sudden onset,s_1932
hypertension over 180 mmhg,s_1933
complete vision loss recent,s_1934
pain in upper limb severe,s_1935
worms in stool,s_1937
sunburn,s_1943
vomiting every time after meal,s_1949
chest pain recurrent,s_1952
erythema around eyes,s_1955
destructive thoughts towards other people or things,s_1957
dysphonia over 2 weeks,s_1958
bruise after trauma,s_1960
jaw pain,s_1961
active wound bleeding,s_1973
diarrhea more than 6 stools a day,s_1979
wound,s_1980
wound infection,s_1981
dermatological changes hands,s_1982
eyelid lesion itching,s_1983
cough nocturnal,s_1985
electrical burn,s_1989
dermatological changes scattered,s_1992
discharge from ear purulent,s_1994
edema feet,s_1995
edema nose,s_1996
edema toe,s_1997
erythema vulva,s_1999
fever greater than 40,s_2000
paresthesia one lower limb,s_2001
palpitations over 5 minutes,s_2002
erythema toe,s_2003
palpitations recurrent,s_2004
nail pain,s_2005
chest pain exacerbating when lying down,s_2006
regular uterine contractions,s_2008
fetal membranes rupture,s_2010
nosebleed single episode,s_2016
nosebleeds recurrent,s_2017
chest pain lasting less than 30 minutes,s_2018
chest pain lasting between 30 minutes and 8 hours,s_2019
chest pain lasting over 8 hours,s_2022
dizziness recurrent,s_2023
gambling pathological,s_2024
lying to hide the extent of your gambling,s_2029
gambling,s_2032
pruritus foot,s_2033
consciousness disturbances,s_2034
third-degree burn,s_2039
burn involving face hands feet genitalia or major joints,s_2040
halos around lights,s_2041
penile itching,s_2043
seizures,s_2045
bedwetting,s_2048
chest pain exacerbated by chest wall movement,s_2051
male infertility,s_2052
vomiting bilious,s_2055
vomiting less than 7 days,s_2056
vomiting 7 days or more,s_2057
dermatological changes scalp,s_2059
dermatological changes trunk,s_2060
upper limb pallor,s_2068
bone pain lasting less than a week,s_2070
bone pain lasting longer than a week,s_2071
consciousness disturbances acute,s_2072
consciousness disturbances chronic,s_2073
chest pain radiating to left upper limb,s_2074
dyspnea acute after trauma,s_2075
respiratory distress after trauma,s_2076
major bleeding,s_2077
minor uncontrollable bleeding,s_2078
recent injury without bleeding,s_2079
neurological deficit since less than 24 hours,s_2080
severe pain after trauma,s_2081
vascular compromise,s_2082
neurological deficit since more than 24 hours,s_2083
periorbital ecchymosis,s_2084
back pain worsens on palpation,s_2085
inability to bear weight after trauma,s_2086
joint deformation post-traumatic,s_2087
physical injury symptom,s_2088
serious injury respiratory difficulty severe bleeding new neurological problem,s_2089
pain in both hands,s_2091
pain in both feet,s_2092
edema both hands,s_2093
dry eyes,s_2094
chest pain burning,s_2096
delusions,s_2098
fatigue,s_2100
edema foot,s_2103
cognitive disturbances,s_2108
coma,s_2109
dermatological changes female genital area,s_2110
dermatological changes male genital area,s_2111
pleuritic chest pain after trauma,s_2112
vaginal bleeding in pregnancy,s_2115
vaginal bleeding in pregnancy light,s_2116
vaginal bleeding in pregnancy heavy,s_2117
dizziness unbearable,s_2118
painless wound,s_2119
acid reflux,s_2121
fetal membranes rupture purulent or malodorous amniotic fluid,s_2125
diarrhea lasting less than 48 hours,s_2126
vaginal bleeding negative or unknown pregnancy status,s_2130
chest retractions,s_2134
eye discharge,s_2141
weight faltering,s_2142
learning disability,s_2152
nasal catarrh mucoid,s_2153
nasal catarrh purulent,s_2154
constipation chronic,s_2162
twisted neck,s_2163
consumption of expired food or drink,s_2164
wheezing acute,s_2166
normal body temperature,s_2168
normal heart rate,s_2169
anicteric presentation,s_2170
normal lung sounds on auscultation,s_2171
no signs of upper respiratory infection,s_2172
neck pain during head movement,s_2173
normal vital signs,s_2174
possible rabies exposure,s_2175
dyspnea lasting 1 to 24 hours,s_2176
bone deformation non-traumatic,s_2180
bone deformation post-traumatic,s_2181
flank pain,s_2182
vaginal bleeding in pregnancy painless,s_2183
female genital burn,s_2186
male genital burn,s_2187
headache recent lasting less than 1 hour,s_2189
headache recent lasting for more than 1 hour and less than 1 day,s_2190
headache recent lasting more than 1 day,s_2191
diarrhea lasting 2 to 14 days,s_2194
cold feet and toes unilateral,s_2196
diplopia lasting up to 24 hours,s_2200
diplopia lasting more than 24 hours,s_2201
dyspnea after a few minutes of walking,s_2203
dyspnea on exertion,s_2204
dyspnea at rest,s_2205
paraphimosis,s_2206
edema penis,s_2207
ulcer not healing within 6 weeks,s_2208
recurrent seizures,s_2209
urticaria lasting more than six weeks,s_2211
purulent vaginal discharge,s_2212
self-injurious thoughts or behaviours,s_2213
chemical burn,s_2214
wound lip,s_2222
nasal congestion worsening after brief improvement,s_2226
self-injurious behaviour recent,s_2228
self-injurious behaviour recent minor,s_2229
self-injurious behaviour recent major,s_2230
dyspnea unknown severity,s_2231
breast asymmetry in size or shape,s_2234
umbilical discharge,s_2241
eye pain unbearable,s_2242
genital injury in male,s_2245
genital injury in female,s_2246
enlarged front of the neck,s_2247
enlarged cervical lymph nodes,s_2248
unknown heart rate,s_2251
abdominal tenderness left lower quadrant,s_2252
flat foot,s_2253
direct care to covid-19 case,s_2254
close contact with covid-19 case,s_2256
other type of contact with covid-19 case,s_2257
no contact with covid-19 case,s_2258
calf hypertrophy,s_2261
gowers' sign,s_2262
dermatological changes upper extremities excluding hands,s_2266
dermatological changes lower extremities excluding feet,s_2267
cough alternating productivity,s_2268
gastric symptoms after eating foods containing gluten,s_2271
blood pressure normal or prehypertension,s_2272
blood pressure not measured,s_2273
abdominal pain localised,s_2275
bleeding from anus light,s_2276
bleeding from anus heavy,s_2277
ataxia acute,s_2278
ataxia subacute,s_2279
ataxia chronic,s_2280
abdominal pain unspecified location,s_2281
pale skin only fingers,s_2282
bruxism,s_2283
back pain nocturnal,s_2284
skin mass natal cleft,s_2285
abdominal pain unknown character,s_2288
excessive fear of separation,s_2289
speech and language impairment rapid onset,s_2290
subungual splinter hemorrhages,s_2291
enlarged axillary lymph nodes,s_2292
choking,s_2296
joint pain mechanical,s_2298
joint pain inflammatory,s_2299
swallowed foreign body,s_2300
edema unspecified location,s_2301
loss of consciousness transient,s_2302
loss of consciousness persistent,s_2303
paresthesia upper limbs,s_2304
tremors unspecified location,s_2305
paresthesia lower limbs,s_2306
nasal congestion acute,s_2307
nasal congestion subacute,s_2308
lump in popliteal region,s_2309
abdominal pain no exacerbation factor,s_2311
back pain lumbar unknown radiating direction,s_2314
paresthesia one foot,s_2315
diarrhea unknown character,s_2316
